Filename, Sample, U1 (V), I1 (A), Ug (V), gm (A/V), go (A/V), μ (V/V), T (°C)
LD1014D_365, LD1014D_365, 1.5, 2.167, -0.844, 9.265, 1.768, 5.24, 39.94
LD1014D_365, LD1014D_365, 1.5, 2.5, -0.8131, 9.271, 1.842, 5.032, 39.94
LD1014D_366, LD1014D_366, 1.5, 1.5, -0.7673, 7.341, 1.335, 5.497, 40
LD1014D_366, LD1014D_366, 1.5, 1.833, -0.7175, 7.424, 1.509, 4.919, 40
LD1014D_366, LD1014D_366, 1.5, 2.167, -0.6826, 7.51, 1.684, 4.46, 40
LD1014D_366, LD1014D_366, 1.5, 2.5, -0.6542, 7.599, 1.86, 4.086, 40
LD1014D_367, LD1014D_367, 1.5, 1.5, -0.818, 8.35, 1.286, 6.493, 40.06
LD1014D_367, LD1014D_367, 1.5, 1.833, -0.7807, 8.427, 1.395, 6.039, 40.06
LD1014D_367, LD1014D_367, 1.5, 2.167, -0.738, 8.508, 1.507, 5.647, 40.06
LD1014D_367, LD1014D_367, 1.5, 2.5, -0.7008, 8.584, 1.608, 5.338, 40.06
LD1014D_368_NA, LD1014D_368, 1.5, 1.5, -0.8183, 8.322, 1.096, 7.592, 40
LD1014D_368_NA, LD1014D_368, 1.5, 1.833, -0.78, 8.331, 1.205, 6.913, 40
LD1014D_368_NA, LD1014D_368, 1.5, 2.167, -0.7364, 8.343, 1.314, 6.348, 40
LD1014D_368_NA, LD1014D_368, 1.5, 2.5, -0.7002, 8.357, 1.423, 5.872, 40
LD1014D_369, LD1014D_369, 1.5, 1.5, nan, 8.164, 2.301, 3.548, 40
LD1014D_369, LD1014D_369, 1.5, 1.833, nan, 8.164, 2.301, 3.548, 40
LD1014D_369, LD1014D_369, 1.5, 2.167, nan, 8.164, 2.301, 3.548, 40
LD1014D_369, LD1014D_369, 1.5, 2.5, -0.9823, 8.173, 2.302, 3.551, 40
LD1014D_370, LD1014D_370, 1.5, 1.5, -0.6, 2.23, 1.032, 2.161, 40.44
