Filename, Sample, U1 (V), I1 (A), Ug (V), gm (A/V), go (A/V), μ (V/V), T (°C)
801A_1, 801A_1, 400, 0.02, -33.32, 0.001717, 0.000228, 7.532, NA
801A_2, 801A_2, 400, 0.02, -31.57, 0.00177, 0.0002256, 7.846, NA
801A_3, 801A_3, 400, 0.02, -31.12, 0.001759, 0.0002185, 8.049, NA
801A_4, 801A_4, 400, 0.02, -32.75, 0.001806, 0.0002325, 7.769, NA
