Filename, Sample, U1 (V), I1 (A), Ug (V), gm (A/V), go (A/V), μ (V/V), T (°C)
20B_10, 20B_10, 400, 0.04, -7.726, 0.006697, 0.00032, 20.93, NA
20B_1, 20B-octal_1, 400, 0.04, -10.45, 0.006313, 0.000333, 18.96, NA
20B_2, 20B-octal_2, 400, 0.04, -10.35, 0.0062, 0.000328, 18.9, NA
20B_3, 20B_3, 400, 0.04, -7.727, 0.006677, 0.000316, 21.13, NA
20B_4, 20B_4, 400, 0.04, -7.998, 0.006943, 0.0003227, 21.52, NA
20B_5, 20B_5, 400, 0.04, -7.641, 0.00646, 0.000309, 20.91, NA
20B_6, 20B_6, 400, 0.04, -7.6, 0.00667, 0.0003124, 21.35, NA
20B_7, 20B_7, 400, 0.04, -7.515, 0.006493, 0.000307, 21.15, NA
20B_8, 20B_8, 400, 0.04, -7.847, 0.006623, 0.0003145, 21.06, NA
20B_9, 20B_9, 400, 0.04, -7.557, 0.006537, 0.000312, 20.95, NA
