Filename, Sample, U1 (V), I1 (A), Ug (V), gm (A/V), go (A/V), μ (V/V), T (°C)
801A_1, 801A_1_RCA_BROWNBASE_USNAVY, 400, 0.02, -33.32, 0.00173, 0.000212, 8.16, NA
801A_10, 801A_10_GENERALELECTRIC_BROWNBASE, 400, 0.02, -32.25, 0.001752, 0.000247, 7.093, NA
801A_11, 801A_11_GENERALELECTRIC_BROWNBASE, 400, 0.02, -29.98, 0.001779, 0.000221, 8.05, NA
801A_2, 801A_2_RCA_BROWNBASE_USNAVY, 400, 0.02, -31.57, 0.001722, 0.000236, 7.297, NA
801A_3, 801A_3_RCA_BROWNBASE_USNAVY, 400, 0.02, -31.12, 0.001702, 0.000232, 7.336, NA
801A_4, 801A_4_RCA_BROWNBASE_USNAVY, 400, 0.02, -32.75, 0.0018, 0.000254, 7.087, NA
801A_5, 801A_5_RCA_BROWNBASE_WORLDMAP, 400, 0.02, -31.96, 0.001664, 0.000198, 8.404, NA
801A_6, 801A_6_RCA_BROWNBASE_WORLDMAP, 400, 0.02, -31.86, 0.001594, 0.000214, 7.449, NA
801A_7, 801A_7_RCA_BROWNBASE_WORLDMAP, 400, 0.02, -30.85, 0.001612, 0.00019, 8.484, NA
801A_8, 801A_8_RCA_BROWNBASE_WORLDMAP, 400, 0.02, -32.88, 0.00176, 0.000246, 7.154, NA
801A_9, 801A_9_RCA_BROWNBASE, 400, 0.02, -30.07, 0.00166, 0.000186, 8.925, NA
VT62_1, VT62_1_TAYLOR_BROWNBASE, 400, 0.02, -33.28, 0.00185, 0.000236, 7.839, NA
VT62_10, VT62_10_Taylor_Whitebase, 400, 0.02, -32.5, 0.00179, 0.000255, 7.02, NA
VT62_11, VT62_11_HYTRON_BROWNBASE, 400, 0.02, -29.36, 0.001862, 0.000226, 8.239, NA
VT62_12, VT62_12_HYTRON_BROWNBASE, 400, 0.02, -31.62, 0.001598, 0.000205, 7.795, NA
VT62_13, VT62_13_TAYLOR_WHITEBASE, 400, 0.02, -30.05, 0.001688, 0.000187, 9.027, NA
VT62_14, VT62_14_HYTRON_BROWNBASE, 400, 0.02, -30.86, 0.001608, 0.000222, 7.243, NA
VT62_15, VT62_15_HYTRON_BROWNBASE, 400, 0.02, -29.55, 0.001782, 0.000221, 8.063, NA
VT62_16, VT62_16_HYTRON_BROWNBASE, 400, 0.02, -31.15, 0.001526, 0.0001951, 7.822, NA
VT62_17, VT62_17_HYTRON_BROWNBASE, 400, 0.02, -29.25, 0.001782, 0.000222, 8.027, NA
VT62_18, VT62_18_HYTRON_BROWNBASE, 400, 0.02, -28.96, 0.0018, 0.0002327, 7.735, NA
VT62_19, VT62_18_HYTRON_BROWNBASE, 400, 0.02, -27.56, 0.001428, 0.0001694, 8.431, NA
VT62_2, VT62_2_TAYLOR_BROWNBASE, 400, 0.02, -30.76, 0.00167, 0.00021, 7.952, NA
VT62_20, VT62_20_TAYLOR_BROWNBASE, 400, 0.02, -27.21, 0.001774, 0.000218, 8.138, NA
VT62_21, VT62_21_TAYLOR_BROWNBASE, 400, 0.02, -29.58, 0.001764, 0.000234, 7.538, NA
VT62_22, VT62_22_HYTRON_BROWNBASE, 400, 0.02, -29.63, 0.001734, 0.000206, 8.417, NA
VT62_23, VT62_23_HYTRON_BROWNBASE, 400, 0.02, -29.96, 0.001806, 0.000224, 8.062, NA
VT62_24, VT62_24_HYTRON_BROWNBASE, 400, 0.02, -32.75, 0.001624, 0.000222, 7.315, NA
VT62_25, VT62_25_HYTRON_BROWNBASE, 400, 0.02, -29.99, 0.001643, 0.000208, 7.899, NA
VT62_26, VT62_26-HYTRON-BROWNBASE, 400, 0.02, -38.79, 0.001578, 0.0002058, 7.668, NA
VT62_27-FILAMENTINVERTEDPOLARITY, VT62_27-FILAMENTINVERTEDPOLARITY, 400, 0.02, -29.45, 0.001724, 0.000227, 7.595, NA
VT62_27, VT62_27-HYTRON-BRWONBASE, 400, 0.02, -38.23, 0.001696, 0.000211, 8.038, NA
VT62_27_FILAMENTPOLARITYREVERSED-2, VT62_FILAMENTPOLARITYREVERSED-2, 400, 0.02, -29.41, 0.001708, 0.000201, 8.498, NA
VT62_3, VT62_3_TAYLOR_BROWNBASE, 400, 0.02, -29.21, 0.001908, 0.000249, 7.663, NA
VT62_4, VT62_4_TAYLOR_BROWNBASE, 400, 0.02, -28.77, 0.001746, 0.000227, 7.692, NA
VT62_5_NA, VT62_5_HYTRON_BLACKBASE_BROKEN, 400, 0.02, -29.8, 0.001542, 0.000193, 7.99, NA
VT62_6, VT62_6_HYTRON_BLACKBASE, 400, 0.02, -28.67, 0.001532, 0.000209, 7.33, NA
VT62_7, VT62_7_HYTRON_BRWONBASE, 400, 0.02, -29.75, 0.001822, 0.000216, 8.435, NA
VT62_8, VT62_8_HYTRON_BRWONBASE, 400, 0.02, -30.2, 0.001608, 0.000184, 8.739, NA
VT62_9, VT62_9_HYTRON_BRWONBASE, 400, 0.02, -31.06, 0.001592, 0.000189, 8.423, NA
