Filename, Sample, U1 (V), I1 (A), Ug (V), gm (A/V), go (A/V), μ (V/V), T (°C)
FQA19N20_3, FQA19N20_3, 24, 1, 3.696, 4.582, 0.02652, 172.8, 50.31
FQA19N20_4, FQA19N20_4, 24, 1, 3.667, 5.446, 0.004408, 1236, 50.06
